identifier	T-statistics	pvalue	mean_group1	mean_group2	std(group1)	std(group2)	log2FC	test	correction	padj	rejected	group1	group2	FC	-log10 pvalue	Method	color	name
ACTB~P60709	2.9084381900429315	0.004800115130921474	15.698587570720466	14.922407431003371	1.4971250312040791	0.962662540382779	-0.7761801397170949	t-Test	FDR correction BH	0.010812556859130745	True	Not MIS-C	MIS-C Acute Stage	1.7125903954948116	2.31874834593186	Unpaired t-test	lightsteelblue	
ADIPOQ~Q15848	2.7581063680501727	0.007099246757289525	13.106025134864101	12.817750452997897	0.6554054532719502	0.32673057527878135	-0.28827468186620386	t-Test	FDR correction BH	0.015128156780414584	True	Not MIS-C	MIS-C Acute Stage	1.2211789968641389	2.1487877282536814	Unpaired t-test	lightsteelblue	
AFM~P43652	7.523316964870727	3.8174418722682103e-10	17.546598761389227	16.752898861740125	0.5138112213667494	0.42476579936703074	-0.793699899649102	t-Test	FDR correction BH	5.694350792800081e-09	True	Not MIS-C	MIS-C Acute Stage	1.733514494737396	9.418227567171439	Unpaired t-test	lightsteelblue	
AGT~P01019	-2.943025902725017	0.004438929266132174	17.765883889156534	18.051658091645024	0.5208410933964132	0.36495845403062355	0.28577420248848995	t-Test	FDR correction BH	0.010186773572277682	True	Not MIS-C	MIS-C Acute Stage	0.8203012872500333	2.3527217753560783	Unpaired t-test	indianred	
AHSG~P02765	8.363523699202018	3.2661114650389284e-12	19.25761137095994	18.506271392169495	0.4968473987131166	0.32856119007497075	-0.751339978790444	t-Test	FDR correction BH	1.7720204530922286e-10	True	Not MIS-C	MIS-C Acute Stage	1.6833556095717617	11.48596899785248	Unpaired t-test	lightsteelblue	
ALB~P02768	4.975124097253248	6.3650754393864205e-06	26.221235276028715	25.911613024666366	0.29890898531202814	0.2526398491127516	-0.3096222513623488	t-Test	FDR correction BH	3.255281439000484e-05	True	Not MIS-C	MIS-C Acute Stage	1.2393831430656812	5.1961964446866675	Unpaired t-test	lightsteelblue	
AMBP~P02760	3.4561916251678806	0.000989323562925231	18.446100336681965	18.192063715068212	0.3748605624428656	0.2871814166934399	-0.2540366216137535	t-Test	FDR correction BH	0.0027670143400565055	True	Not MIS-C	MIS-C Acute Stage	1.1925391435607744	3.0046616471173335	Unpaired t-test	lightsteelblue	
APCS~P02743	-3.5637676053345646	0.0006547942838060152	17.154084118153023	17.428574391645256	0.42567244479933325	0.28189423088521226	0.2744902734922334	t-Test	FDR correction BH	0.0019535082749535665	True	Not MIS-C	MIS-C Acute Stage	0.8267423674444796	3.1838951205281796	Unpaired t-test	indianred	
APOA1~P02647	6.763812351234323	2.5885698185692162e-08	22.039299109365377	21.11671869271124	0.5371089637685695	0.6038770297566265	-0.9225804166541387	t-Test	FDR correction BH	2.3167699876194487e-07	True	Not MIS-C	MIS-C Acute Stage	1.8955025753595658	7.586940116789746	Unpaired t-test	lightsteelblue	
APOA2~P02652	4.47685215456066	4.3393862022229533e-05	20.38712616740463	19.719530638123402	0.6597732418615688	0.6312851339588331	-0.667595529281229	t-Test	FDR correction BH	0.00018161556418023393	True	Not MIS-C	MIS-C Acute Stage	1.5884234109659516	4.362571696256964	Unpaired t-test	lightsteelblue	
